book,vagga,story_thai
8,พฺราหฺมณวคฺควณฺณนา.,อญฺญตรพฺราหฺมณวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อานนฺทตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อญฺญตรปพฺพชิตวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,สารีปุตฺตตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,มหาปชาปตีโคตมีวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ชฏิลพฺราหฺมณวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,กุหกพฺราหฺมณวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,กิสาโคตมีวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อุคฺคเสนวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,เทฺว พฺราหฺมณวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อกฺโกสกภารทฺวาชวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อุปฺปลวณฺณาเถรีวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,เขมาภิกฺขุนีวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ปพฺภารวาสิติสฺสตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ปพฺภารวาสิติสฺสตฺเถรวตฺถุ, อญฺญตรภิกฺขุวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,อญฺญตรภิกฺขุวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,สามเณรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,มหาปนฺถกตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ปิลินฺทวจฺฉตฺเถรวตฺถุ, อญฺญตรภิกฺขุวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,มหาโมคฺคลฺลานตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,เรวตตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,จนฺทาภตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,สีวลิตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,สุนฺทรสมุทฺทตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,โชติกตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ปฐมนฏปุพฺพกวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ทุติยนฏปุพฺพกวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,วงฺคีสตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ธมฺมทินฺนาเถรีวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,องฺคุลิมาลตฺเถรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,เทวหิตพฺราหฺมณวตฺถุ
